No,Nesne,Cx_Sol,Cy_Sol,Cx_Sag,Cy_Sag,Disparite_px,Z_m,BirBolumZ
1,ZPIX Sprey,394,704,199,709,195,0.8,1.25
2,Kalemlik,495.275628106946,715.816606207175,321.342459026456,712.832975262415,173.93316908049,0.94,1.06382978723404
3,Gozluk Kutusu,624.192139737991,789.923314516988,452.881672838949,786.128624333845,171.310466899043,0.74,1.35135135135135
4,Altin Silindir,645.223244043945,674.620972719417,502.367641375757,670.741465928121,142.855602668188,1.03,0.970873786407767
5,Neutrogena,766.401473839352,763.947678703021,579.198706338939,756.280595084088,187.202767500412,0.82,1.21951219512195
6,Kirmizi Kutu,765.020906971497,649.107919079492,622.014831495574,650.807423512968,143.006075475923,1.08,0.925925925925926
7,Zimba,889.307842441448,802.979240596168,707.377557070857,794.615772309517,181.930285370591,0.77,1.2987012987013
8,Siyah Kavanoz,938.254277739574,693.126855709721,784.141200161095,692.797704389851,154.113077578478,0.96,1.04166666666667
9,ZMA Sise,1073.84434152235,747.71103503826,897.818063040993,747.100930916218,176.026278481359,0.86,1.16279069767442
10,Matara,1144.13663182485,659.640420497769,982.832480050339,656.719846695078,161.304151774513,0.96,1.04166666666667
