No,Nesne,Cx,Cy,Alan,Perimeter,MajorAxis,MinorAxis,Orientation,AspectRatio,Circularity,Hu1,Hu2,Hu3,Hu4,Hu5,Hu6,Hu7
1,ZPIX Sprey,199,709,14429,532.464,243.26580760065,75.5296307006429,90,3.22079964305424,0.639536884162799,0.551243289114556,1.27043475497592,0,0,0,0,0
2,Kalemlik,321.342459026456,712.832975262415,16291,698.697,169.307096130839,133.366717396344,-85.9193440009161,1.26948536663527,0.419353093080545,0.749092223230698,2.75902045668164,4.73981189633245,4.6742745671135,9.38323772103081,6.10615879847479,-10.4089836827773
3,Gozluk Kutusu,452.881672838949,786.128624333845,11071,421.886,134.228262845072,112.180212342931,-44.8989317258265,1.19654135111405,0.781639479894776,0.762600168648502,3.02656199433857,3.49176495666459,4.50179836442739,-8.78519460301045,-6.42160507284655,-8.56607527731301
4,Altin Silindir,502.367641375757,670.741465928121,15526,700.078,190.68584265874,110.65047975051,87.5156864864988,1.72331690823836,0.398085707708786,0.708525847005909,2.02569232448285,4.59699027995563,5.21262033570077,11.5032364845833,6.22777586682137,-10.1177920323381
5,Neutrogena,579.198706338939,756.280595084088,7730,381.295,132.342303095018,80.0869883205314,-79.6613210386366,1.65248195581217,0.668139483949276,0.713434021007413,2.09390921586333,3.32604683246876,3.92718254530671,7.59136193206286,5.0037904039488,-7.95329606370253
6,Kirmizi Kutu,622.014831495574,650.807423512968,12878,498.114,171.941824259771,102.894428916561,-82.9374797483272,1.67105086320273,0.652230026488317,0.71029812992629,2.07149416752542,3.05310213131277,4.20506432785094,7.83465455549423,5.24208318238912,-9.15027206115671
7,Zimba,707.377557070857,794.615772309517,6746,346.908,116.48002140671,82.0924741928953,-66.5254654976428,1.41888793768126,0.704413337749679,0.725582510793325,2.39769205180644,3.15857069702829,3.84466387069984,7.66537993855282,5.20235126279579,-7.40304693041085
8,Siyah Kavanoz,784.141200161095,692.797704389851,24830,637.78,196.78358268497,166.918364757327,-74.0083978800638,1.17892110296588,0.767087297623111,0.775734306914581,3.12637077512257,3.58808591025277,8.00721098050423,-14.7386555735439,9.67113195216913,-13.8010021287292
9,ZMA Sise,897.818063040993,747.100930916218,6123,372.702,146.388043834379,57.352583727825,-89.0886076798715,2.55242282595471,0.553924630794593,0.598104095091624,1.46488719043366,2.80114704621432,3.82019763040139,-7.19235081264489,-4.58006456842191,7.43489282101159
10,Matara,982.832480050339,656.719846695078,34963,910.941,365.085406863508,129.305521130009,89.5932673336875,2.8234324696502,0.529465973845734,0.571624079908013,1.36230285410709,2.83914040766924,3.31505823372466,6.39219260251071,3.99627717018072,-8.28821857338437
