MatchNo,SolNesneNo,SolNesneAdi,SagNesneNo,SagNesneAdi,SSD
1,6,Kirmizi Kutu,6,Kirmizi Kutu,0.403995059459954
2,4,Altin Silindir,5,Neutrogena,0.537465990362096
3,7,Zimba,7,Zimba,0.803095864108241
4,1,ZPIX Sprey,1,ZPIX Sprey,0.924548320215147
5,3,Gozluk Kutusu,3,Gozluk Kutusu,1.32816147526055
6,10,Matara,10,Matara,3.10694718521573
7,9,ZMA Sise,9,ZMA Sise,3.36778349928809
8,2,Kalemlik,2,Kalemlik,4.83430794438844
9,5,Neutrogena,8,Siyah Kavanoz,8.96366061351303
10,8,Siyah Kavanoz,4,Altin Silindir,12.3891160994435
